"","threshold","train_acc","test_acc","diff"
"1",0.1,0.658823529411765,0.571428571428571,0.0873949579831933
"2",0.11,0.729411764705882,0.571428571428571,0.157983193277311
"3",0.12,0.764705882352941,0.666666666666667,0.0980392156862745
"4",0.13,0.764705882352941,0.666666666666667,0.0980392156862745
"5",0.14,0.788235294117647,0.666666666666667,0.12156862745098
"6",0.15,0.788235294117647,0.666666666666667,0.12156862745098
"7",0.16,0.788235294117647,0.666666666666667,0.12156862745098
"8",0.17,0.8,0.714285714285714,0.0857142857142857
"9",0.18,0.8,0.714285714285714,0.0857142857142857
"10",0.19,0.823529411764706,0.714285714285714,0.109243697478992
"11",0.2,0.823529411764706,0.714285714285714,0.109243697478992
"12",0.21,0.835294117647059,0.714285714285714,0.121008403361345
"13",0.22,0.835294117647059,0.761904761904762,0.073389355742297
"14",0.23,0.823529411764706,0.80952380952381,0.0140056022408963
"15",0.24,0.823529411764706,0.80952380952381,0.0140056022408963
"16",0.25,0.823529411764706,0.80952380952381,0.0140056022408963
"17",0.26,0.847058823529412,0.80952380952381,0.0375350140056022
"18",0.27,0.847058823529412,0.80952380952381,0.0375350140056022
"19",0.28,0.835294117647059,0.80952380952381,0.0257703081232493
"20",0.29,0.835294117647059,0.80952380952381,0.0257703081232493
"21",0.3,0.835294117647059,0.80952380952381,0.0257703081232493
"22",0.31,0.847058823529412,0.80952380952381,0.0375350140056022
"23",0.32,0.870588235294118,0.761904761904762,0.108683473389356
"24",0.33,0.88235294117647,0.761904761904762,0.120448179271709
"25",0.34,0.88235294117647,0.761904761904762,0.120448179271709
"26",0.35,0.894117647058824,0.761904761904762,0.132212885154062
"27",0.36,0.894117647058824,0.761904761904762,0.132212885154062
"28",0.37,0.894117647058824,0.761904761904762,0.132212885154062
"29",0.38,0.894117647058824,0.80952380952381,0.084593837535014
"30",0.39,0.894117647058824,0.80952380952381,0.084593837535014
"31",0.4,0.894117647058824,0.80952380952381,0.084593837535014
"32",0.41,0.894117647058824,0.80952380952381,0.084593837535014
"33",0.42,0.894117647058824,0.80952380952381,0.084593837535014
"34",0.43,0.894117647058824,0.80952380952381,0.084593837535014
"35",0.44,0.88235294117647,0.80952380952381,0.072829131652661
"36",0.45,0.894117647058824,0.80952380952381,0.084593837535014
"37",0.46,0.905882352941176,0.80952380952381,0.0963585434173669
"38",0.47,0.905882352941176,0.80952380952381,0.0963585434173669
"39",0.48,0.905882352941176,0.80952380952381,0.0963585434173669
"40",0.49,0.905882352941176,0.857142857142857,0.0487394957983194
"41",0.5,0.905882352941176,0.857142857142857,0.0487394957983194
"42",0.51,0.905882352941176,0.857142857142857,0.0487394957983194
"43",0.52,0.905882352941176,0.857142857142857,0.0487394957983194
"44",0.53,0.905882352941176,0.857142857142857,0.0487394957983194
"45",0.54,0.905882352941176,0.857142857142857,0.0487394957983194
"46",0.55,0.905882352941176,0.857142857142857,0.0487394957983194
"47",0.56,0.894117647058824,0.857142857142857,0.0369747899159665
"48",0.57,0.894117647058824,0.857142857142857,0.0369747899159665
"49",0.58,0.894117647058824,0.857142857142857,0.0369747899159665
"50",0.59,0.88235294117647,0.857142857142857,0.0252100840336135
"51",0.6,0.88235294117647,0.857142857142857,0.0252100840336135
"52",0.61,0.88235294117647,0.857142857142857,0.0252100840336135
"53",0.62,0.88235294117647,0.857142857142857,0.0252100840336135
"54",0.63,0.88235294117647,0.857142857142857,0.0252100840336135
"55",0.64,0.88235294117647,0.857142857142857,0.0252100840336135
"56",0.65,0.88235294117647,0.857142857142857,0.0252100840336135
"57",0.66,0.88235294117647,0.857142857142857,0.0252100840336135
"58",0.67,0.88235294117647,0.857142857142857,0.0252100840336135
"59",0.68,0.88235294117647,0.857142857142857,0.0252100840336135
"60",0.69,0.870588235294118,0.857142857142857,0.0134453781512606
"61",0.7,0.88235294117647,0.904761904761905,0.0224089635854342
"62",0.71,0.88235294117647,0.904761904761905,0.0224089635854342
"63",0.72,0.88235294117647,0.904761904761905,0.0224089635854342
"64",0.73,0.870588235294118,0.904761904761905,0.0341736694677871
"65",0.74,0.870588235294118,0.904761904761905,0.0341736694677871
"66",0.75,0.870588235294118,0.904761904761905,0.0341736694677871
"67",0.76,0.870588235294118,0.904761904761905,0.0341736694677871
"68",0.77,0.870588235294118,0.904761904761905,0.0341736694677871
"69",0.78,0.858823529411765,0.904761904761905,0.0459383753501401
"70",0.79,0.858823529411765,0.904761904761905,0.0459383753501401
"71",0.8,0.858823529411765,0.904761904761905,0.0459383753501401
"72",0.81,0.858823529411765,0.857142857142857,0.00168067226890756
"73",0.82,0.858823529411765,0.857142857142857,0.00168067226890756
"74",0.83,0.858823529411765,0.857142857142857,0.00168067226890756
"75",0.84,0.858823529411765,0.857142857142857,0.00168067226890756
"76",0.85,0.858823529411765,0.857142857142857,0.00168067226890756
"77",0.86,0.847058823529412,0.857142857142857,0.0100840336134453
"78",0.87,0.835294117647059,0.80952380952381,0.0257703081232493
"79",0.88,0.835294117647059,0.80952380952381,0.0257703081232493
"80",0.89,0.835294117647059,0.80952380952381,0.0257703081232493
"81",0.9,0.835294117647059,0.80952380952381,0.0257703081232493
