"feature","mean_abs_effect","sd_effect"
"NBNIR",0.0887619047619048,0.111186357471611
"NRSWIR2",0.0861352380952381,0.106210896322181
"NDWI",0.0532723809523809,0.0670497053339226
"NNIRSWIR1",0.0360247619047619,0.0432066851196015
"NGSWIR2",0.0359314285714286,0.0470690253905848
"NDSI2",0.0358057142857143,0.046185429863836
"NRSWIR1",0.0341638095238095,0.0455128872663235
"SWIR2_R",0.0303752380952381,0.0431139368559578
"NDSI1",0.0252838095238095,0.0348827432351551
"NBSWIR2",0.0213942857142857,0.0274092439454016
"SI1",0.0193638095238095,0.0221763820753346
"NGSWIR1",0.0188761904761905,0.0242268852874592
"NBSWIR1",0.0185219047619048,0.0282858716780191
"SWIR1_R",0.0177847619047619,0.0260978526357078
"SI4",0.0143904761904762,0.0201194850343835
"Green_R",0.0134438095238095,0.0167127163502789
"Blue_R",0.0112590476190476,0.0191910812618779
"NIR_R",0.011247619047619,0.0149404724514712
"NNIRSWIR2",0.0110419047619048,0.0135107400819117
"SAVI",0.010647619047619,0.0146495557245546
"VSSI",0.00980190476190476,0.0129148022467698
"SI5",0.00833142857142857,0.0109162881210356
"Red_R",0.00762095238095238,0.0103444105326641
"SI2",0.0069447619047619,0.00970486626740898
"NBG",0.00671809523809524,0.00999624124480748
"NDVI",0.00454285714285714,0.00843485914408106
"SI3",0.00349333333333333,0.00568930875821848
"NBR",0.00215238095238095,0.00304846062712346
